@RELATION between_breaks_n

@ATTRIBUTE liquid_volume_hl numeric
@ATTRIBUTE time_s numeric
@ATTRIBUTE temp_C numeric
@ATTRIBUTE energy_kWh numeric
@ATTRIBUTE gas_m3 numeric

@DATA
230.948,5,0.00031,7236.111,0.88347
223.915,10,0.00031,7236.111,0.87969
232.528,15,0.00030,7236.111,0.88387
231.034,20,0.00031,7236.111,0.88131
229.787,25,0.00031,7236.111,0.87970
229.860,30,0.00031,7236.111,0.89409
229.616,35,0.00031,7236.111,0.88075
230.208,40,0.00032,7236.111,0.91251
230.395,45,0.00030,7236.111,0.87823
230.975,50,0.00030,7236.111,0.87912
230.199,55,0.00030,7236.111,0.87609
232.960,60,0.00030,7236.111,0.88126
233.377,65,0.00030,7236.111,0.88241
232.346,70,0.00030,7236.111,0.87973
236.566,75,0.00030,7236.111,0.87923
232.578,80,0.00030,7236.111,0.87978
232.286,85,0.00030,7236.111,0.87683
238.890,90,0.00030,7236.111,0.88994
228.274,95,0.00031,7236.111,0.88020
233.574,100,0.00030,7236.111,0.87810
234.226,105,0.00030,7236.111,0.88026
230.764,110,0.00030,7236.111,0.87241
232.062,115,0.00031,7236.111,0.90726
237.054,120,0.00029,7236.111,0.86243
232.902,125,0.00030,7236.111,0.86844
233.627,130,0.00029,7236.111,0.85809
229.164,135,0.00030,7236.111,0.86735
230.325,140,0.00030,7236.111,0.87772
227.312,145,0.00031,7236.111,0.87454
235.036,150,0.00029,7236.111,0.86637
230.823,155,0.00031,7236.111,0.89881
233.521,160,0.00030,7236.111,0.88161
236.596,165,0.00029,7236.111,0.87138
233.701,170,0.00030,7236.111,0.88059
229.036,175,0.00031,7236.111,0.87664
235.185,180,0.00030,7236.111,0.88230
229.820,185,0.00031,7236.111,0.89177
233.839,190,0.00030,7236.111,0.87008
233.577,195,0.00030,7236.111,0.87923
232.387,200,0.00031,7236.111,0.88863
239.569,205,0.00029,7236.111,0.88098
233.387,210,0.00030,7236.111,0.88012
229.143,215,0.00031,7236.111,0.88134
232.517,220,0.00031,7236.111,0.90705
232.786,225,0.00030,7236.111,0.87884
239.924,230,0.00030,7236.111,0.90296
229.050,235,0.00031,7236.111,0.88096
231.038,240,0.00030,7236.111,0.87433
233.033,245,0.00030,7236.111,0.86874
232.482,250,0.00030,7236.111,0.87593
234.073,255,0.00030,7236.111,0.88021
231.407,260,0.00030,7236.111,0.87379
233.528,265,0.00030,7236.111,0.88285
226.709,270,0.00031,7236.111,0.87971
234.606,275,0.00029,7236.111,0.85992
233.786,280,0.00028,7236.111,0.83067
234.939,285,0.00030,7236.111,0.87954
229.049,290,0.00031,7236.111,0.89395
232.538,295,0.00031,7236.111,0.89050
233.356,300,0.00030,7236.111,0.86941
237.501,305,0.00030,7236.111,0.88028
234.032,310,0.00030,7236.111,0.87970
231.832,315,0.00030,7236.111,0.87775
237.170,320,0.00030,7236.111,0.88225
233.023,325,0.00030,7236.111,0.87714
235.710,330,0.00030,7236.111,0.87844
234.258,335,0.00030,7236.111,0.88627
227.358,340,0.00030,7236.111,0.86509
228.661,345,0.00031,7236.111,0.87714
227.976,350,0.00031,7236.111,0.87918
231.317,355,0.00030,7236.111,0.87828
230.665,360,0.00030,7236.111,0.87898
231.328,365,0.00030,7236.111,0.88148
228.246,370,0.00032,7236.111,0.91250
227.978,375,0.00031,7236.111,0.87949
232.940,380,0.00030,7236.111,0.88393
230.329,385,0.00031,7236.111,0.88062
228.973,390,0.00031,7236.111,0.88330
232.816,395,0.00030,7236.111,0.88127
234.743,400,0.00030,7236.111,0.87882
231.131,405,0.00030,7236.111,0.88047
231.420,410,0.00031,7236.111,0.88589
233.217,415,0.00030,7236.111,0.87650
229.690,420,0.00031,7236.111,0.88017
238.487,425,0.00030,7236.111,0.88416
232.828,430,0.00030,7236.111,0.87762
229.380,435,0.00031,7236.111,0.88245
228.704,440,0.00031,7236.111,0.87264
232.125,445,0.00030,7236.111,0.88028
229.366,450,0.00031,7236.111,0.88386
