@RELATION prepare_to_blurring

@ATTRIBUTE liquid_volume_hl numeric
@ATTRIBUTE time_s numeric
@ATTRIBUTE temp_C numeric
@ATTRIBUTE energy_kWh numeric
@ATTRIBUTE gas_m3 numeric

@DATA
232.000,1,0.054,1.447,0.15580
232.000,2,0.054,1.447,0.15580
232.000,3,0.054,1.447,0.15580
232.000,4,0.054,1.447,0.15580
232.000,5,0.054,1.447,0.15580
232.000,6,0.054,1.447,0.15580
232.000,7,0.054,1.447,0.15580
232.000,8,0.054,1.447,0.15580
232.000,9,0.054,1.447,0.15580
232.000,10,0.054,1.447,0.15580
232.000,11,0.054,1.447,0.15580
232.000,12,0.054,1.447,0.15580
232.000,13,0.054,1.447,0.15580
232.000,14,0.054,1.447,0.15580
232.000,15,0.054,1.447,0.15580
232.000,16,0.054,1.447,0.15580
232.000,17,0.054,1.447,0.15580
232.000,18,0.054,1.447,0.15580
232.000,19,0.054,1.447,0.15580
232.000,20,0.054,1.447,0.15580
232.000,21,0.054,1.447,0.15580
232.000,22,0.054,1.447,0.15580
232.000,23,0.054,1.447,0.15580
232.000,24,0.054,1.447,0.15580
232.000,25,0.054,1.447,0.15580
232.000,26,0.054,1.447,0.15580
232.000,27,0.054,1.447,0.15580
232.000,28,0.054,1.447,0.15580
232.000,29,0.054,1.447,0.15580
232.000,30,0.054,1.447,0.15580
231.999,31,0.054,1.447,0.15580
231.999,32,0.054,1.447,0.15580
231.999,33,0.054,1.447,0.15580
231.999,34,0.054,1.447,0.15580
231.999,35,0.054,1.447,0.15580
231.999,36,0.054,1.447,0.15580
231.999,37,0.054,1.447,0.15580
231.999,38,0.054,1.447,0.15580
231.999,39,0.054,1.447,0.15580
231.999,40,0.054,1.447,0.15580
231.999,41,0.054,1.447,0.15580
231.999,42,0.054,1.447,0.15580
231.999,43,0.054,1.447,0.15580
231.999,44,0.054,1.447,0.15580
231.999,45,0.054,1.447,0.15580
231.999,46,0.054,1.447,0.15580
231.999,47,0.054,1.447,0.15580
231.999,48,0.054,1.447,0.15580
231.999,49,0.054,1.447,0.15580
231.999,50,0.054,1.447,0.15580
231.999,51,0.054,1.447,0.15580
231.999,52,0.054,1.447,0.15580
231.999,53,0.054,1.447,0.15580
231.999,54,0.054,1.447,0.15580
231.999,55,0.054,1.447,0.15580
231.999,56,0.054,1.447,0.15580
231.999,57,0.054,1.447,0.15580
231.999,58,0.054,1.447,0.15580
231.999,59,0.054,1.447,0.15580
231.999,60,0.054,1.447,0.15580
231.999,61,0.054,1.447,0.15580
231.999,62,0.054,1.447,0.15580
231.999,63,0.054,1.447,0.15580
231.999,64,0.054,1.447,0.15580
231.999,65,0.054,1.447,0.15580
231.999,66,0.054,1.447,0.15580
231.999,67,0.054,1.447,0.15580
231.999,68,0.054,1.447,0.15580
231.999,69,0.054,1.447,0.15580
231.999,70,0.054,1.447,0.15580
231.999,71,0.054,1.447,0.15580
231.999,72,0.054,1.447,0.15580
231.999,73,0.054,1.447,0.15580
231.999,74,0.054,1.447,0.15580
231.999,75,0.054,1.447,0.15580
231.999,76,0.054,1.447,0.15580
231.999,77,0.054,1.447,0.15580
231.999,78,0.054,1.447,0.15580
231.999,79,0.054,1.447,0.15580
231.999,80,0.054,1.447,0.15580
231.999,81,0.054,1.447,0.15580
231.999,82,0.054,1.447,0.15580
231.999,83,0.054,1.447,0.15580
231.999,84,0.054,1.447,0.15580
231.999,85,0.054,1.447,0.15580
231.999,86,0.054,1.447,0.15580
231.999,87,0.054,1.447,0.15580
231.999,88,0.054,1.447,0.15580
231.999,89,0.054,1.447,0.15580
231.999,90,0.054,1.447,0.15580
231.998,91,0.054,1.447,0.15580
231.998,92,0.054,1.447,0.15580
231.998,93,0.054,1.447,0.15580
231.998,94,0.054,1.447,0.15580
231.998,95,0.054,1.447,0.15580
231.998,96,0.054,1.447,0.15580
231.998,97,0.054,1.447,0.15580
231.998,98,0.054,1.447,0.15580
231.998,99,0.054,1.447,0.15580
231.998,100,0.054,1.447,0.15580
231.998,101,0.054,1.447,0.15580
231.998,102,0.054,1.447,0.15580
231.998,103,0.054,1.447,0.15580
231.998,104,0.054,1.447,0.15580
231.998,105,0.054,1.447,0.15580
231.998,106,0.054,1.447,0.15580
231.998,107,0.054,1.447,0.15580
231.998,108,0.054,1.447,0.15580
231.998,109,0.054,1.447,0.15580
231.998,110,0.054,1.447,0.15580
231.998,111,0.054,1.447,0.15580
231.998,112,0.054,1.447,0.15580
231.998,113,0.054,1.447,0.15580
231.998,114,0.054,1.447,0.15580
231.998,115,0.054,1.447,0.15580
