@RELATION prepare_to_blurring_n

@ATTRIBUTE liquid_volume_hl numeric
@ATTRIBUTE time_s numeric
@ATTRIBUTE temp_C numeric
@ATTRIBUTE energy_kWh numeric
@ATTRIBUTE gas_m3 numeric

@DATA
240.632,5,0.26098,7236.111,785.00091
228.897,10,0.27600,7236.111,789.68346
235.326,15,0.26500,7236.111,779.51936
229.364,20,0.26754,7236.111,767.05372
233.347,25,0.26777,7236.111,781.04094
231.565,30,0.26838,7236.111,776.83970
232.554,35,0.26875,7236.111,781.22452
239.642,40,0.25801,7236.111,772.88900
229.586,45,0.27203,7236.111,780.69137
229.016,50,0.26925,7236.111,770.77333
229.643,55,0.27452,7236.111,788.01173
226.973,60,0.27317,7236.111,775.01514
238.843,65,0.25338,7236.111,756.46283
229.046,70,0.27094,7236.111,775.72134
241.136,75,0.25779,7236.111,777.01451
228.847,80,0.27783,7236.111,794.75555
233.109,85,0.26782,7236.111,780.40044
229.535,90,0.26081,7236.111,748.31035
233.776,95,0.26928,7236.111,786.90039
230.147,100,0.26751,7236.111,769.58782
235.082,105,0.26582,7236.111,781.13115
230.370,110,0.26901,7236.111,774.63456
231.492,115,0.27357,7236.111,791.61433
227.369,120,0.27649,7236.111,785.81851
230.890,125,0.26989,7236.111,778.92978
235.039,130,0.26333,7236.111,773.65626
236.951,135,0.26084,7236.111,772.59149
232.546,140,0.26122,7236.111,759.31852
230.106,145,0.27746,7236.111,798.06794
235.086,150,0.26710,7236.111,784.89951
232.149,155,0.26431,7236.111,766.99532
232.294,160,0.26598,7236.111,772.32332
232.799,165,0.26487,7236.111,770.75711
231.863,170,0.27101,7236.111,785.46317
232.748,175,0.26377,7236.111,767.40300
232.791,180,0.26877,7236.111,782.10321
231.267,185,0.26245,7236.111,758.70010
234.776,190,0.26663,7236.111,782.47871
228.053,195,0.27404,7236.111,781.18279
237.069,200,0.26218,7236.111,776.92498
231.177,205,0.26938,7236.111,778.42297
230.681,210,0.27306,7236.111,787.35801
235.898,215,0.26441,7236.111,779.66144
229.633,220,0.27372,7236.111,785.68354
233.699,225,0.26480,7236.111,773.53114
228.202,230,0.27952,7236.111,797.32480
235.194,235,0.26358,7236.111,774.91502
230.504,240,0.26744,7236.111,770.56084
226.887,245,0.28330,7236.111,803.46919
228.967,250,0.26921,7236.111,770.51123
227.357,255,0.27460,7236.111,780.38868
228.461,260,0.26893,7236.111,768.01492
234.309,265,0.26179,7236.111,766.73381
234.963,270,0.26496,7236.111,778.19094
229.136,275,0.27759,7236.111,795.08244
233.034,280,0.26541,7236.111,773.12999
227.753,285,0.27239,7236.111,775.46293
228.823,290,0.27335,7236.111,781.85855
232.177,295,0.26686,7236.111,774.47440
235.984,300,0.26341,7236.111,776.99594
231.295,305,0.26925,7236.111,778.43956
231.655,310,0.26810,7236.111,776.32806
230.403,315,0.27057,7236.111,779.25342
229.664,320,0.27120,7236.111,778.55545
236.503,325,0.26428,7236.111,781.28865
229.696,330,0.27158,7236.111,779.76540
229.583,335,0.25474,7236.111,731.04656
233.170,340,0.26554,7236.111,773.96097
231.718,345,0.26591,7236.111,770.21318
233.311,350,0.27467,7236.111,801.05174
235.864,355,0.26422,7236.111,778.99292
226.432,360,0.27509,7236.111,778.61675
233.886,365,0.26471,7236.111,773.90992
232.259,370,0.27095,7236.111,786.62036
229.316,375,0.27225,7236.111,780.39139
228.694,380,0.27335,7236.111,781.41817
232.328,385,0.27274,7236.111,792.05535
232.638,390,0.27184,7236.111,790.51041
230.696,395,0.26640,7236.111,768.20371
220.580,400,0.28390,7236.111,782.78985
233.565,405,0.26584,7236.111,776.13844
231.590,410,0.26702,7236.111,772.98084
230.432,415,0.26984,7236.111,777.23636
234.350,420,0.25295,7236.111,740.97275
234.955,425,0.26948,7236.111,791.45143
233.136,430,0.25902,7236.111,754.83617
221.141,435,0.28717,7236.111,793.81261
234.286,440,0.26903,7236.111,787.86534
236.058,445,0.26394,7236.111,778.82755
229.605,450,0.27190,7236.111,780.37798
233.041,455,0.25527,7236.111,743.60185
234.164,460,0.26699,7236.111,781.48560
227.360,465,0.27174,7236.111,772.29272
233.743,470,0.26890,7236.111,785.66783
233.683,475,0.26597,7236.111,776.90403
233.365,480,0.27191,7236.111,793.17303
223.646,485,0.27368,7236.111,765.08203
226.829,490,0.27814,7236.111,788.63462
230.703,495,0.27028,7236.111,779.44454
232.713,500,0.26703,7236.111,776.75567
232.716,505,0.26368,7236.111,767.03852
230.950,510,0.26851,7236.111,775.15561
232.385,515,0.26794,7236.111,778.30563
232.904,520,0.26466,7236.111,770.51903
230.055,525,0.27471,7236.111,789.98728
232.854,530,0.26848,7236.111,781.46761
233.858,535,0.26661,7236.111,779.34754
230.870,540,0.26849,7236.111,774.84159
231.367,545,0.26809,7236.111,775.32785
227.507,550,0.27417,7236.111,779.68775
230.964,555,0.26479,7236.111,764.45601
224.995,560,0.27735,7236.111,780.02954
227.512,565,0.26909,7236.111,765.27849
240.841,570,0.25710,7236.111,774.00754
229.753,575,0.26919,7236.111,773.10179
227.929,580,0.27350,7236.111,779.21796
229.436,585,0.28139,7236.111,807.02607
228.300,590,0.27589,7236.111,787.32590
233.431,595,0.26928,7236.111,785.71501
236.221,600,0.26646,7236.111,786.79248
228.852,605,0.27141,7236.111,776.41524
227.046,610,0.27438,7236.111,778.72127
231.139,615,0.27233,7236.111,786.83012
231.716,620,0.27500,7236.111,796.53540
246.192,625,0.26003,7236.111,800.21059
230.959,630,0.26407,7236.111,762.36396
226.444,635,0.27616,7236.111,781.69184
231.460,640,0.26535,7236.111,767.71425
233.227,645,0.27281,7236.111,795.34643
238.809,650,0.25928,7236.111,773.99259
236.397,655,0.26287,7236.111,776.76341
233.200,660,0.26720,7236.111,778.89473
226.982,665,0.28006,7236.111,794.60632
232.354,670,0.25997,7236.111,755.05281
232.684,675,0.27431,7236.111,797.83990
229.422,680,0.27138,7236.111,778.25286
234.429,685,0.26572,7236.111,778.65807
229.764,690,0.27116,7236.111,778.78503
231.624,695,0.26703,7236.111,773.11635
231.597,700,0.27831,7236.111,805.69940
233.752,705,0.26789,7236.111,782.74923
231.447,710,0.27120,7236.111,784.60260
229.707,715,0.26921,7236.111,772.98973
234.094,720,0.26607,7236.111,778.55326
229.982,725,0.26828,7236.111,771.24391
228.137,730,0.26837,7236.111,765.31517
236.337,735,0.26346,7236.111,778.30183
237.124,740,0.26544,7236.111,786.76445
229.949,745,0.27463,7236.111,789.38251
232.524,750,0.26780,7236.111,778.37672
229.668,755,0.27069,7236.111,777.11121
231.051,760,0.27014,7236.111,780.20787
231.282,765,0.26574,7236.111,768.25529
233.357,770,0.26572,7236.111,775.10682
233.494,775,0.26138,7236.111,762.88686
229.756,780,0.27030,7236.111,776.28961
237.879,785,0.26390,7236.111,784.69453
231.954,790,0.27910,7236.111,809.22041
229.668,795,0.26800,7236.111,769.37786
229.607,800,0.27063,7236.111,776.73133
232.347,805,0.26911,7236.111,781.58319
233.429,810,0.26488,7236.111,772.88453
233.075,815,0.26484,7236.111,771.60053
238.988,820,0.26372,7236.111,787.83554
234.122,825,0.27124,7236.111,793.79349
232.361,830,0.26840,7236.111,779.57002
231.752,835,0.27040,7236.111,783.33038
233.625,840,0.26715,7236.111,780.15586
227.068,845,0.28071,7236.111,796.76799
235.335,850,0.26952,7236.111,792.83566
231.334,855,0.27300,7236.111,789.43813
230.432,860,0.27455,7236.111,790.82601
224.991,865,0.29134,7236.111,819.36054
228.927,870,0.27601,7236.111,789.81948
232.301,875,0.27268,7236.111,791.80198
230.953,880,0.26977,7236.111,778.80455
224.599,885,0.27726,7236.111,778.40710
229.348,890,0.27546,7236.111,789.70513
233.905,895,0.26442,7236.111,773.10794
232.066,900,0.27310,7236.111,792.20595
234.634,905,0.26639,7236.111,781.30789
227.356,910,0.27499,7236.111,781.50809
225.178,915,0.27677,7236.111,779.03268
229.341,920,0.27357,7236.111,784.26654
232.864,925,0.27812,7236.111,809.55963
229.414,930,0.26806,7236.111,768.70927
233.896,935,0.26522,7236.111,775.43967
233.840,940,0.25977,7236.111,759.29484
227.731,945,0.26536,7236.111,755.37799
231.770,950,0.26533,7236.111,768.70786
230.249,955,0.26908,7236.111,774.45638
230.772,960,0.27038,7236.111,779.96380
229.701,965,0.26994,7236.111,775.05600
235.206,970,0.26566,7236.111,781.05774
227.631,975,0.27869,7236.111,792.97276
235.248,980,0.26306,7236.111,773.56538
226.862,985,0.27511,7236.111,780.13987
231.470,990,0.27254,7236.111,788.55678
237.692,995,0.26423,7236.111,785.07104
231.120,1000,0.27024,7236.111,780.72930
227.818,1005,0.27095,7236.111,771.58328
229.857,1010,0.27247,7236.111,782.86709
233.702,1015,0.26567,7236.111,776.08185
229.701,1020,0.26707,7236.111,766.81689
238.271,1025,0.26149,7236.111,778.81299
232.191,1030,0.26750,7236.111,776.38174
232.487,1035,0.26714,7236.111,776.34301
231.530,1040,0.26899,7236.111,778.49534
233.690,1045,0.26682,7236.111,779.41566
231.444,1050,0.26289,7236.111,760.54022
240.823,1055,0.25389,7236.111,764.29308
232.341,1060,0.26386,7236.111,766.32362
235.166,1065,0.26718,7236.111,785.41076
232.509,1070,0.26964,7236.111,783.66550
234.412,1075,0.26788,7236.111,784.92877
224.178,1080,0.27949,7236.111,783.19786
225.564,1085,0.27403,7236.111,772.63654
232.453,1090,0.26943,7236.111,782.87406
233.801,1095,0.26792,7236.111,782.98760
