@RELATION to_mash_out

@ATTRIBUTE liquid_volume_hl numeric
@ATTRIBUTE time_s numeric
@ATTRIBUTE temp_C numeric
@ATTRIBUTE energy_kWh numeric
@ATTRIBUTE gas_m3 numeric

@DATA
230.474,1,0.000,1.447,0.00017
230.474,2,0.000,1.447,0.00017
230.474,3,0.000,1.447,0.00017
230.474,4,0.000,1.447,0.00017
230.474,5,0.000,1.447,0.00017
230.474,6,0.000,1.447,0.00017
230.474,7,0.000,1.447,0.00017
230.474,8,0.000,1.447,0.00017
230.474,9,0.000,1.447,0.00017
230.474,10,0.000,1.447,0.00017
230.474,11,0.000,1.447,0.00017
230.474,12,0.000,1.447,0.00017
230.474,13,0.000,1.447,0.00017
230.474,14,0.000,1.447,0.00017
230.474,15,0.000,1.447,0.00017
230.474,16,0.000,1.447,0.00017
230.474,17,0.000,1.447,0.00017
230.474,18,0.000,1.447,0.00017
230.474,19,0.000,1.447,0.00017
230.474,20,0.000,1.447,0.00017
230.474,21,0.000,1.447,0.00017
230.474,22,0.000,1.447,0.00017
230.474,23,0.000,1.447,0.00017
230.474,24,0.000,1.447,0.00017
230.474,25,0.000,1.447,0.00017
230.474,26,0.000,1.447,0.00017
230.473,27,0.000,1.447,0.00017
230.473,28,0.000,1.447,0.00017
230.473,29,0.000,1.447,0.00017
230.473,30,0.000,1.447,0.00017
230.473,31,0.000,1.447,0.00017
230.473,32,0.000,1.447,0.00017
230.473,33,0.000,1.447,0.00017
230.473,34,0.000,1.447,0.00017
230.473,35,0.000,1.447,0.00017
230.473,36,0.000,1.447,0.00017
230.473,37,0.000,1.447,0.00017
230.473,38,0.000,1.447,0.00017
230.473,39,0.000,1.447,0.00017
230.473,40,0.000,1.447,0.00017
230.473,41,0.000,1.447,0.00017
230.473,42,0.000,1.447,0.00017
230.473,43,0.000,1.447,0.00017
230.473,44,0.000,1.447,0.00017
230.473,45,0.000,1.447,0.00017
230.473,46,0.000,1.447,0.00017
230.473,47,0.000,1.447,0.00017
230.473,48,0.000,1.447,0.00017
230.473,49,0.000,1.447,0.00017
230.473,50,0.000,1.447,0.00017
230.473,51,0.000,1.447,0.00017
230.473,52,0.000,1.447,0.00017
230.473,53,0.000,1.447,0.00017
230.473,54,0.000,1.447,0.00017
230.473,55,0.000,1.447,0.00017
230.473,56,0.000,1.447,0.00017
230.473,57,0.000,1.447,0.00017
230.473,58,0.000,1.447,0.00017
230.473,59,0.000,1.447,0.00017
230.473,60,0.000,1.447,0.00017
230.473,61,0.000,1.447,0.00017
230.473,62,0.000,1.447,0.00017
230.473,63,0.000,1.447,0.00017
230.473,64,0.000,1.447,0.00017
230.473,65,0.000,1.447,0.00017
230.473,66,0.000,1.447,0.00017
230.473,67,0.000,1.447,0.00017
230.473,68,0.000,1.447,0.00017
230.473,69,0.000,1.447,0.00017
230.473,70,0.000,1.447,0.00017
230.473,71,0.000,1.447,0.00017
230.473,72,0.000,1.447,0.00017
230.473,73,0.000,1.447,0.00017
230.473,74,0.000,1.447,0.00017
230.473,75,0.000,1.447,0.00017
230.473,76,0.000,1.447,0.00017
230.473,77,0.000,1.447,0.00017
230.473,78,0.000,1.447,0.00017
230.473,79,0.000,1.447,0.00017
230.473,80,0.000,1.447,0.00017
230.473,81,0.000,1.447,0.00017
230.473,82,0.000,1.447,0.00017
230.473,83,0.000,1.447,0.00017
230.473,84,0.000,1.447,0.00017
230.473,85,0.000,1.447,0.00017
230.473,86,0.000,1.447,0.00017
230.472,87,0.000,1.447,0.00017
230.472,88,0.000,1.447,0.00017
230.472,89,0.000,1.447,0.00017
230.472,90,0.000,1.447,0.00017
230.472,91,0.000,1.447,0.00017
230.472,92,0.000,1.447,0.00017
230.472,93,0.000,1.447,0.00017
230.472,94,0.000,1.447,0.00017
230.472,95,0.000,1.447,0.00017
230.472,96,0.000,1.447,0.00017
230.472,97,0.000,1.447,0.00017
230.472,98,0.000,1.447,0.00017
230.472,99,0.000,1.447,0.00017
230.472,100,0.000,1.447,0.00017
230.472,101,0.000,1.447,0.00017
230.472,102,0.000,1.447,0.00017
230.472,103,0.000,1.447,0.00017
230.472,104,0.000,1.447,0.00017
230.472,105,0.000,1.447,0.00017
230.472,106,0.000,1.447,0.00017
230.472,107,0.000,1.447,0.00017
230.472,108,0.000,1.447,0.00017
230.472,109,0.000,1.447,0.00017
230.472,110,0.000,1.447,0.00017
230.472,111,0.000,1.447,0.00017
230.472,112,0.000,1.447,0.00017
230.472,113,0.000,1.447,0.00017
230.472,114,0.000,1.447,0.00017
230.472,115,0.000,1.447,0.00017
230.472,116,0.000,1.447,0.00017
230.472,117,0.000,1.447,0.00017
230.472,118,0.000,1.447,0.00017
230.472,119,0.000,1.447,0.00017
230.472,120,0.000,1.447,0.00017
230.472,121,0.000,1.447,0.00017
230.472,122,0.000,1.447,0.00017
230.472,123,0.000,1.447,0.00017
230.472,124,0.000,1.447,0.00017
230.472,125,0.000,1.447,0.00017
230.472,126,0.000,1.447,0.00017
230.472,127,0.000,1.447,0.00017
230.472,128,0.000,1.447,0.00017
230.472,129,0.000,1.447,0.00017
230.472,130,0.000,1.447,0.00017
230.472,131,0.000,1.447,0.00017
230.472,132,0.000,1.447,0.00017
230.472,133,0.000,1.447,0.00017
230.472,134,0.000,1.447,0.00017
230.472,135,0.000,1.447,0.00017
230.472,136,0.000,1.447,0.00017
230.472,137,0.000,1.447,0.00017
230.472,138,0.000,1.447,0.00017
230.472,139,0.000,1.447,0.00017
230.472,140,0.000,1.447,0.00017
230.472,141,0.000,1.447,0.00017
230.472,142,0.000,1.447,0.00017
230.472,143,0.000,1.447,0.00017
230.472,144,0.000,1.447,0.00017
230.472,145,0.000,1.447,0.00017
230.472,146,0.000,1.447,0.00017
230.471,147,0.000,1.447,0.00017
230.471,148,0.000,1.447,0.00017
230.471,149,0.000,1.447,0.00017
230.471,150,0.000,1.447,0.00017
230.471,151,0.000,1.447,0.00017
230.471,152,0.000,1.447,0.00017
230.471,153,0.000,1.447,0.00017
230.471,154,0.000,1.447,0.00017
230.471,155,0.000,1.447,0.00017
230.471,156,0.000,1.447,0.00017
230.471,157,0.000,1.447,0.00017
230.471,158,0.000,1.447,0.00017
230.471,159,0.000,1.447,0.00017
230.471,160,0.000,1.447,0.00017
230.471,161,0.000,1.447,0.00017
230.471,162,0.000,1.447,0.00017
230.471,163,0.000,1.447,0.00017
230.471,164,0.000,1.447,0.00017
230.471,165,0.000,1.447,0.00017
230.471,166,0.000,1.447,0.00017
230.471,167,0.000,1.447,0.00017
230.471,168,0.000,1.447,0.00017
230.471,169,0.000,1.447,0.00017
230.471,170,0.000,1.447,0.00017
230.471,171,0.000,1.447,0.00017
230.471,172,0.000,1.447,0.00017
230.471,173,0.000,1.447,0.00017
230.471,174,0.000,1.447,0.00017
230.471,175,0.000,1.447,0.00017
230.471,176,0.000,1.447,0.00017
230.471,177,0.000,1.447,0.00017
230.471,178,0.000,1.447,0.00017
230.471,179,0.000,1.447,0.00017
230.471,180,0.000,1.447,0.00017
230.471,181,0.000,1.447,0.00017
230.471,182,0.000,1.447,0.00017
230.471,183,0.000,1.447,0.00017
230.471,184,0.000,1.447,0.00017
230.471,185,0.000,1.447,0.00017
230.471,186,0.000,1.447,0.00017
230.471,187,0.000,1.447,0.00017
230.471,188,0.000,1.447,0.00017
230.471,189,0.000,1.447,0.00017
230.471,190,0.000,1.447,0.00017
230.471,191,0.000,1.447,0.00017
230.471,192,0.000,1.447,0.00017
230.471,193,0.000,1.447,0.00017
230.471,194,0.000,1.447,0.00017
230.471,195,0.000,1.447,0.00017
230.471,196,0.000,1.447,0.00017
230.471,197,0.000,1.447,0.00017
230.471,198,0.000,1.447,0.00017
230.471,199,0.000,1.447,0.00017
230.471,200,0.000,1.447,0.00017
230.471,201,0.000,1.447,0.00017
230.471,202,0.000,1.447,0.00017
230.471,203,0.000,1.447,0.00017
230.471,204,0.000,1.447,0.00017
230.471,205,0.000,1.447,0.00017
230.471,206,0.000,1.447,0.00017
230.470,207,0.000,1.447,0.00017
230.470,208,0.000,1.447,0.00017
230.470,209,0.000,1.447,0.00017
230.470,210,0.000,1.447,0.00017
230.470,211,0.000,1.447,0.00017
230.470,212,0.000,1.447,0.00017
230.470,213,0.000,1.447,0.00017
230.470,214,0.000,1.447,0.00017
230.470,215,0.000,1.447,0.00017
230.470,216,0.000,1.447,0.00017
230.470,217,0.000,1.447,0.00017
230.470,218,0.000,1.447,0.00017
230.470,219,0.000,1.447,0.00017
230.470,220,0.000,1.447,0.00017
230.470,221,0.000,1.447,0.00017
230.470,222,0.000,1.447,0.00017
230.470,223,0.000,1.447,0.00017
230.470,224,0.000,1.447,0.00017
230.470,225,0.000,1.447,0.00017
230.470,226,0.000,1.447,0.00017
230.470,227,0.000,1.447,0.00017
230.470,228,0.000,1.447,0.00017
230.470,229,0.000,1.447,0.00017
230.470,230,0.000,1.447,0.00017
230.470,231,0.000,1.447,0.00017
230.470,232,0.000,1.447,0.00017
230.470,233,0.000,1.447,0.00017
230.470,234,0.000,1.447,0.00017
230.470,235,0.000,1.447,0.00017
230.470,236,0.000,1.447,0.00017
230.470,237,0.000,1.447,0.00017
230.470,238,0.000,1.447,0.00017
230.470,239,0.000,1.447,0.00017
230.470,240,0.000,1.447,0.00017
230.470,241,0.000,1.447,0.00017
230.470,242,0.000,1.447,0.00017
230.470,243,0.000,1.447,0.00017
230.470,244,0.000,1.447,0.00017
230.470,245,0.000,1.447,0.00017
