@RELATION to_mash_out_n

@ATTRIBUTE liquid_volume_hl numeric
@ATTRIBUTE time_s numeric
@ATTRIBUTE temp_C numeric
@ATTRIBUTE energy_kWh numeric
@ATTRIBUTE gas_m3 numeric

@DATA
231.692,5,0.00030,7236.111,0.85505
235.058,10,0.00029,7236.111,0.84908
231.594,15,0.00030,7236.111,0.85428
234.672,20,0.00029,7236.111,0.86441
229.606,25,0.00030,7236.111,0.85426
229.694,30,0.00030,7236.111,0.85361
235.950,35,0.00029,7236.111,0.85386
231.074,40,0.00030,7236.111,0.85358
229.007,45,0.00030,7236.111,0.85250
235.557,50,0.00028,7236.111,0.83828
238.536,55,0.00029,7236.111,0.85205
236.554,60,0.00029,7236.111,0.85520
225.943,65,0.00030,7236.111,0.84795
232.699,70,0.00029,7236.111,0.85449
231.111,75,0.00029,7236.111,0.85077
234.332,80,0.00029,7236.111,0.85290
231.022,85,0.00030,7236.111,0.85243
231.433,90,0.00029,7236.111,0.84985
230.951,95,0.00030,7236.111,0.85233
232.868,100,0.00029,7236.111,0.85280
223.452,105,0.00031,7236.111,0.85296
232.248,110,0.00029,7236.111,0.85347
234.433,115,0.00029,7236.111,0.85440
238.310,120,0.00029,7236.111,0.85354
231.524,125,0.00029,7236.111,0.85092
230.742,130,0.00030,7236.111,0.85223
235.262,135,0.00029,7236.111,0.85205
231.550,140,0.00030,7236.111,0.85766
231.536,145,0.00029,7236.111,0.85139
234.137,150,0.00029,7236.111,0.85318
235.451,155,0.00029,7236.111,0.85348
230.213,160,0.00030,7236.111,0.85211
230.248,165,0.00029,7236.111,0.84647
233.721,170,0.00029,7236.111,0.85623
232.826,175,0.00029,7236.111,0.84699
228.794,180,0.00030,7236.111,0.85639
230.942,185,0.00030,7236.111,0.85556
231.522,190,0.00029,7236.111,0.85250
229.565,195,0.00030,7236.111,0.85416
235.712,200,0.00029,7236.111,0.85863
232.719,205,0.00030,7236.111,0.86620
222.932,210,0.00031,7236.111,0.85325
233.654,215,0.00029,7236.111,0.85290
234.158,220,0.00029,7236.111,0.85841
233.272,225,0.00029,7236.111,0.85535
235.524,230,0.00029,7236.111,0.86148
236.589,235,0.00029,7236.111,0.85399
231.725,240,0.00030,7236.111,0.85734
233.486,245,0.00029,7236.111,0.85148
232.060,250,0.00029,7236.111,0.85228
229.224,255,0.00030,7236.111,0.85635
226.681,260,0.00030,7236.111,0.85150
226.984,265,0.00029,7236.111,0.81809
223.661,270,0.00031,7236.111,0.85279
230.644,275,0.00029,7236.111,0.85039
230.943,280,0.00029,7236.111,0.84524
228.328,285,0.00030,7236.111,0.84559
229.037,290,0.00030,7236.111,0.87023
